anims	mode	prog	type1	type2	type3	type4	type5	type6	type7	type8	type9	type10	type11	type12	concor	recal	discre	concor_het	concor_alt	precision
SAMEA6163187	graph	gatk4-fixed	5981	8	1	9	7929	11	1	6	5405	4997	82	54	99.813963102682	98.9922940130409	0.265314422785873	99.823744177263	99.7784751707587	99.7979193174164
SAMEA6163187	graph-fil	gatk4-filter	5972	8	1	8	7928	11	1	4	5404	5007	85	55	99.8293427108652	98.9626556016597	0.243294795468004	99.8488664987405	99.7784342688331	99.8203054806828
SAMEA6163187	linear	gatk4-fixed	5978	9	1	8	7928	12	1	4	5406	5001	84	52	99.8190933994935	98.9922940130409	0.257963491683493	99.8362926583554	99.7601033400996	99.8128602440302
SAMEA6163187	linear-fil	gatk4-filter	5968	9	1	7	7927	12	1	4	5402	5012	85	56	99.8241167037401	98.9552459988145	0.25070456531321	99.8362720403023	99.7599261311173	99.8202651089643
SAMEA6163177	bwa	gatk4-fixed	11173	713	2	15	11145	13	4	148	10660	10526	242	176	97.3577775809642	98.1903978527209	3.90905687490947	92.8285857071464	99.8594847775176	99.1812599499659
SAMEA6163177	bwa_fil	gatk4-filter	11150	712	1	14	11138	13	4	148	10656	10550	250	181	97.3637545809197	98.1341183601022	3.89834618761935	92.8321386897816	99.8687910028116	99.185363855641
SAMEA6163177	graph	gatk4-fixed	11163	760	1	15	11081	14	4	154	10654	10536	253	182	97.1990781776281	98.1168015931426	4.14366164442301	92.3801583993331	99.8594057549911	99.1469756409087
SAMEA6163177	graph-fil	gatk4-filter	11142	759	1	14	11074	14	4	154	10653	10558	261	183	97.2024249593376	98.0778388674834	4.13673432845052	92.3834153666472	99.859392575928	99.1511887920413
SAMEA6163177	linear	gatk4-fixed	11163	763	2	16	11075	14	4	154	10652	10535	256	183	97.1840557870165	98.0994848261829	4.16606857925073	92.3532354903269	99.8500187476565	99.1421400866986
SAMEA6163177	linear-fil	gatk4-filter	11141	762	1	15	11069	14	4	154	10650	10558	263	186	97.1901804199941	98.0561929087839	4.15495872677517	92.3571130579892	99.85935302391	99.1463525974619
SAMEA6163178	bwa	gatk4-fixed	11476	1810	5	7	8853	22	2	470	10701	10514	539	369	93.0546392370899	96.0121217444771	10.4990842318705	79.5203449205066	99.748322147651	97.5018698578908
SAMEA6163178	bwa_fil	gatk4-filter	11449	1808	5	7	8852	22	2	469	10696	10541	543	374	93.0561392975083	95.9725943168343	10.4897822490087	79.5399406954803	99.7482047934347	97.5059856344773
SAMEA6163178	graph	gatk4-fixed	11465	1886	4	5	8725	21	2	494	10676	10527	567	396	92.7519682673238	95.7705652422153	10.9628776659724	78.5682125168843	99.7663769741146	97.3799126637555
SAMEA6163178	graph-fil	gatk4-filter	11441	1884	4	5	8723	21	2	493	10674	10551	572	398	92.7542334646735	95.739821687382	10.9527411449399	78.5855855855856	99.7663333021778	97.3842755296717
SAMEA6163178	linear	gatk4-fixed	11466	1890	4	6	8720	21	2	495	10674	10525	567	398	92.7339383376405	95.7617813694058	10.9906614414786	78.5231877532643	99.7663333021778	97.3692137764836
SAMEA6163178	linear-fil	gatk4-filter	11442	1887	4	6	8717	21	2	494	10672	10549	574	400	92.738757707926	95.7222539417629	10.9769878350566	78.5456839070103	99.7662896139104	97.3734431498594
SAMEA6163176	bwa	gatk4-fixed	11372	462	8	136	10535	150	8	143	10851	10506	189	176	97.3058072181791	98.378786532824	4.03313940492558	94.5691202872531	98.5648106095013	97.9975255464418
SAMEA6163176	bwa_fil	gatk4-filter	11349	462	8	136	10527	149	8	143	10850	10529	197	178	97.3061370123692	98.3343697255041	4.0304928571122	94.5652173913043	98.5736349595712	98.0011919497547
SAMEA6163176	graph	gatk4-fixed	11365	499	10	134	10491	147	8	146	10847	10515	193	181	97.1944006895117	98.3388114062361	4.19974910544013	94.207974137931	98.5732460923301	98.0021127084003
SAMEA6163176	graph-fil	gatk4-filter	11345	498	10	134	10483	147	8	146	10847	10535	202	181	97.1949550835862	98.2988362796482	4.19698805249902	94.2122764446841	98.5732460923301	98.0013783597519
SAMEA6163176	linear	gatk4-fixed	11363	500	10	136	10490	146	8	146	10847	10515	193	182	97.1883730606907	98.3343697255041	4.20846160944269	94.1989942528736	98.5822048532219	97.9975198640518
SAMEA6163176	linear-fil	gatk4-filter	11343	498	10	136	10481	145	8	146	10847	10535	204	183	97.1946212887487	98.2810695567203	4.19736505616788	94.2112359550562	98.5911652426831	98.0011946882323
SAMEA6163179	bwa	gatk4-fixed	11242	1210	2	11	10497	20	3	308	10478	10548	315	214	95.3984187616594	97.7043915986808	6.83915574614617	87.3657927590512	99.7904761904762	98.3956466669794
SAMEA6163179	bwa_fil	gatk4-filter	11217	1207	2	11	10493	19	3	307	10476	10573	323	217	95.4083296279828	97.6566568304114	6.82046394972495	87.3906887648871	99.7999428408117	98.4044300530292
SAMEA6163179	graph	gatk4-fixed	11240	1285	1	9	10387	19	3	321	10472	10552	337	222	95.1447965142129	97.574205867037	7.21912862749906	86.6088551655132	99.8093785741517	98.3404837112819
SAMEA6163179	graph-fil	gatk4-filter	11214	1284	1	9	10384	19	3	321	10472	10578	341	222	95.1434420150117	97.5568477694845	7.21599941412058	86.6127283343065	99.8093785741517	98.3402489626556
SAMEA6163179	linear	gatk4-fixed	11240	1285	2	9	10384	21	3	321	10470	10552	340	221	95.1356158292574	97.5655268182607	7.23299372502447	86.605504587156	99.7808062517869	98.3308185590343
SAMEA6163179	linear-fil	gatk4-filter	11216	1282	1	9	10380	21	3	321	10470	10576	347	222	95.1428656202712	97.5308106231557	7.21791690378125	86.6227155136443	99.7903164315669	98.3305036785512
SAMEA6163183	bwa	gatk4-fixed	33433	2526	9	43	33951	210	8	625	33927	16131	662	506	96.7335675820189	98.3870967741936	4.78500884857453	91.5071963775538	99.3586364435073	98.7115351055785
SAMEA6163183	bwa_fil	gatk4-filter	33360	2522	7	43	33933	209	8	625	33916	16204	684	520	96.7368551848064	98.3373840035351	4.77762665219955	91.5129449838188	99.3671627797961	98.7124276195187
SAMEA6163183	graph	gatk4-fixed	33411	2666	6	40	33761	210	8	655	33914	16156	682	522	96.5749825644161	98.3373840035351	5.01714980995112	91.0441723747371	99.3671256958687	98.6688633580218
SAMEA6163183	graph-fil	gatk4-filter	33345	2663	5	39	33745	209	8	654	33911	16223	702	527	96.5786630203004	98.3028612461334	5.00917825345543	91.0501322108899	99.3728937728938	98.6728115975848
SAMEA6163183	linear	gatk4-fixed	33411	2678	6	39	33748	211	8	651	33915	16157	687	520	96.5672083846867	98.3332412726469	5.02862801922496	91.0213879224317	99.3642329778507	98.6743860467829
SAMEA6163183	linear-fil	gatk4-filter	33339	2674	5	39	33731	211	8	651	33907	16229	708	529	96.5686415148472	98.2918139637649	5.02374233118717	91.0270941278066	99.3669958678897	98.6739025777933
SAMEA6163181	bwa	gatk4-fixed	34187	2455	6	26	32805	38	2	598	34086	16044	650	490	97.0010460351429	98.3972556517827	4.45084427256723	91.4858608957555	99.8710811602696	99.0170971800755
SAMEA6163181	bwa_fil	gatk4-filter	34110	2452	5	26	32787	38	2	597	34075	16121	672	502	97.0026515005956	98.3494545045552	4.44587877195358	91.4917959593705	99.8739668210329	99.0181414291003
SAMEA6163181	graph	gatk4-fixed	34167	2607	4	21	32601	38	2	629	34071	16069	671	507	96.8302285385059	98.3438308401755	4.70441199910173	90.9702263024249	99.8768797819013	98.975683619845
SAMEA6163181	graph-fil	gatk4-filter	34092	2606	4	21	32588	37	2	628	34066	16144	686	513	96.8301872284803	98.314306602182	4.70154562070599	90.9720283624588	99.8797900724192	98.9783493213745
SAMEA6163181	linear	gatk4-fixed	34166	2620	5	19	32589	37	2	625	34070	16072	674	508	96.8232932883908	98.3382071757957	4.71479203213845	90.9443545236368	99.8768761726079	98.9857741082831
SAMEA6163181	linear-fil	gatk4-filter	34088	2617	5	19	32571	37	2	625	34064	16150	695	514	96.8229707386473	98.3002474412327	4.71233220724321	90.9474213274509	99.8768545124025	98.9854125196827
SAMEA6163182	bwa	gatk4-fixed	33736	2086	2	32	34044	76	3	510	33826	15996	624	468	97.4030580453434	98.4756267798314	3.82762930907126	92.9148471615721	99.7699386503067	99.093311529982
SAMEA6163182	bwa_fil	gatk4-filter	33656	2074	1	32	34033	76	3	509	33815	16076	648	480	97.4136028176854	98.425372717628	3.80978828466785	92.9457067948438	99.7728077422401	99.0944674884618
SAMEA6163182	graph	gatk4-fixed	33724	2177	1	29	33910	72	3	536	33814	16011	641	485	97.2972972972973	98.4281646099726	3.9837300133682	92.5920869399012	99.7845781568153	99.0638347668364
SAMEA6163182	graph-fil	gatk4-filter	33645	2173	1	28	33904	71	3	535	33809	16091	652	491	97.30150044639	98.4044335250433	3.97484684484482	92.6035179722495	99.7874915144181	99.0680321872714
SAMEA6163182	linear	gatk4-fixed	33719	2192	1	30	33896	73	3	537	33813	16015	639	485	97.2799815852068	98.4309565023173	4.00900692457286	92.5488054607509	99.7816271726621	99.0592813670412
SAMEA6163182	linear-fil	gatk4-filter	33639	2183	1	29	33887	72	3	536	33807	16096	658	492	97.2887083921388	98.3946619018371	3.99356937074265	92.572255914331	99.78453364817	99.0634237714754
